"","LL","PS","HL","SSS","PR","SR","Yield"
"3432",66666667.5555556,15000.6666666667,8444445,3333334,2944267576.43446,2531616434.73086,1595474.57898024
"3433",133333334.111111,15000.6666666667,8444445,3333334,3264169737.20455,2738115518.01852,1638526.39417878
"3434",200000000.666667,15000.6666666667,8444445,3333334,3578533486.94997,2940744130.30681,1680937.77143864
"3435",266666667.222222,15000.6666666667,8444445,3333334,3887664904.79863,3139717909.58542,1722745.60100433
"3441",1,20000.5555555556,8444445,3333334,2758253581.0995,2400824402.33408,1701462.18667677
"3442",66666667.5555556,20000.5555555556,8444445,3333334,3077749352.84896,2606966046.32635,1744265.62474029
"3443",133333334.111111,20000.5555555556,8444445,3333334,3391569490.44931,2809142252.14438,1786418.50615286
"3444",200000000.666667,20000.5555555556,8444445,3333334,3700031800.7478,3007576850.14562,1827958.79763206
"3451",1,25000.4444444444,8444445,3333334,2878929401.28288,2465971360.1686,1839744.709276
"3452",66666667.5555556,25000.4444444444,8444445,3333334,3192294815.85778,2667756997.92874,1881647.65610532
"3453",133333334.111111,25000.4444444444,8444445,3333334,3500171497.87449,2865710504.65325,1922928.52653635
"3454",200000000.666667,25000.4444444444,8444445,3333334,3802863479.08443,3060045845.67594,1963623.28845772
"3461",1,30000.3333333333,8444445,3333334,2982458876.55287,2517942787.90911,1967767.57982506
"3462",66666667.5555556,30000.3333333333,8444445,3333334,3289835602.91724,2715474775.58595,2008797.23608805
"3463",133333334.111111,30000.3333333333,8444445,3333334,3591902734.32622,2909302300.13166,2049231.89235247
"3464",200000000.666667,30000.3333333333,8444445,3333334,3888951165.84965,3099629925.14013,2089105.62426719
"3501",1,1,10555556,3333334,2391836719.16947,2291894894.70693,1084217.2878924
"3502",66666667.5555556,1,10555556,3333334,2730633026.76398,2510888351.80848,1130098.58628413
"3503",133333334.111111,1,10555556,3333334,3063325972.61075,2725627597.25736,1175250.17291318
"3504",200000000.666667,1,10555556,3333334,3390261785.17603,2936356593.95461,1219714.98841611
"3511",1,5000.88888888889,10555556,3333334,2597055732.01257,2420802790.96346,1276149.16313696
"3512",66666667.5555556,5000.88888888889,10555556,3333334,2929324873.40052,2635172597.15824,1321045.74432159
"3513",133333334.111111,5000.88888888889,10555556,3333334,3255694930.92434,2845433752.59591,1365244.74928251
"3514",200000000.666667,5000.88888888889,10555556,3333334,3576497109.77225,3051819451.2679,1408786.87714591
"3521",1,10000.7777777778,10555556,3333334,2775680107.89379,2529289926.18996,1452015.3608106
"3522",66666667.5555556,10000.7777777778,10555556,3333334,3101575777.67119,2739146820.02596,1495957.66892379
"3523",133333334.111111,10000.7777777778,10555556,3333334,3421768141.27024,2945034450.65343,1539232.95989713
"3524",200000000.666667,10000.7777777778,10555556,3333334,3736574074.29971,3147175747.1383,1581879.80977931
"3531",1,15000.6666666667,10555556,3333334,2930612572.19109,2619588904.02464,1613586.31197836
"3532",66666667.5555556,15000.6666666667,10555556,3333334,3250283194.38788,2825039723.75557,1656603.50814962
"3533",133333334.111111,15000.6666666667,10555556,3333334,3564438166.77099,3026654774.26691,1698982.74941408
"3534",200000000.666667,15000.6666666667,10555556,3333334,3873380695.86682,3224647199.26945,1740760.60083815
"3541",1,20000.5555555556,10555556,3333334,3064380112.1044,2693642892.87518,1762402.53531685
"3542",66666667.5555556,20000.5555555556,10555556,3333334,3377969053.088,2894790737.58811,1804522.55635674
"3543",133333334.111111,20000.5555555556,10555556,3333334,3686222240.65588,3092230680.17934,1846032.26342454
"3551",1,25000.4444444444,10555556,3333334,3179189072.35905,2753148099.73017,1899808.41079095
"3552",66666667.5555556,25000.4444444444,10555556,3333334,3486834844.40807,2950092483.29484,1941058.02509713
"3553",133333334.111111,25000.4444444444,10555556,3333334,3789317344.14483,3143451459.1308,1981723.61677832
"3561",1,30000.3333333333,10555556,3333334,3276971198.62357,2799589262.58373,2026980.40005338
"3562",66666667.5555556,30000.3333333333,10555556,3333334,3578807654.60328,2992426260.75963,2067385.26087144
"3601",1,1,12666667,3333334,2716792859.11639,2602709700.00779,1148242.38219078
"3602",66666667.5555556,1,12666667,3333334,3049215021.60218,2816328332.45335,1193348.098281
"3603",133333334.111111,1,12666667,3333334,3375904854.57891,3025973979.23892,1237770.22677116
"3611",1,5000.88888888889,12666667,3333334,2915780187.39029,2725637767.36954,1339213.8713846
"3612",66666667.5555556,5000.88888888889,12666667,3333334,3241882105.40071,2934801387.10798,1383369.32952297
"3613",133333334.111111,5000.88888888889,12666667,3333334,3562440162.28129,3140125704.85292,1426870.85331529
"3621",1,10000.7777777778,12666667,3333334,3088306458.36296,2828269363.96321,1514149.19018005
"3622",66666667.5555556,10000.7777777778,12666667,3333334,3408233189.4844,3033081765.3088,1557383.07953502
"3623",133333334.111111,10000.7777777778,12666667,3333334,3722796767.28712,3234182931.61169,1599991.24834028
"3631",1,15000.6666666667,12666667,3333334,3237269161.96499,2912832333.02499,1674817.36849307
"3632",66666667.5555556,15000.6666666667,12666667,3333334,3551160878.17199,3113393716.71978,1717157.18671085
"3641",1,20000.5555555556,12666667,3333334,3365190258.14791,2981265266.94552,1822757.59014747
"3642",66666667.5555556,20000.5555555556,12666667,3333334,3673182440.64637,3177672386.96052,1864229.69720648
"3651",1,25000.4444444444,12666667,3333334,3474271263.42904,3035259973.13198,1959312.96328949
"3701",1,1,14777778,3333334,3036041899.39552,2907967980.08904,1211588.52346701
"3702",66666667.5555556,1,14777778,3333334,3362428861.1663,3116487975.34568,1255960.57560225
"3711",1,5000.88888888889,14777778,3333334,3228953756.3324,3025063180.21708,1401630.46424302
"3712",66666667.5555556,5000.88888888889,14777778,3333334,3549213452.74274,3229285801.73645,1445084.26344452
"3721",1,10000.7777777778,14777778,3333334,3395531732.9587,3121980378.35053,1575664.02962534
"3722",66666667.5555556,10000.7777777778,14777778,3333334,3709801262.31598,3322003007.14849,1618226.65826039
"3731",1,15000.6666666667,14777778,3333334,3538668382.84529,3200942921.26572,1735456.94559945
"3801",1,1,16888889,3333334,3349800157.31938,3207880364.74379,1274281.94822191
"3811",1,5000.88888888889,16888889,3333334,3536785092.56926,3319282658.84218,1463423.20772227
"4001",1,1,1,4444445,815578689.743554,782086067.006087,941102.865739857
"4002",66666667.5555556,1,1,4444445,1188752077.31559,1030290616.51834,991138.390247248
"4003",133333334.111111,1,1,4444445,1553436460.21437,1272441878.67349,1040147.91205701
"4004",200000000.666667,1,1,4444445,1910192130.67815,1508938709.33327,1088201.09904519
"4005",266666667.222222,1,1,4444445,2259529763.53452,1740144649.98871,1135361.42271294
"4006",333333333.777778,1,1,4444445,2601915543.87699,1966391577.30895,1181686.79889284
"4007",400000000.333333,1,1,4444445,2937775688.10371,2187982920.9202,1227230.15264934
"4008",466666666.888889,1,1,4444445,3267500439.53518,2405196507.22082,1272039.91752247
"4009",533333333.444444,1,1,4444445,3591447607.68199,2618287078.39338,1316160.47774609
"4010",6e+08,1,1,4444445,3909945710.09121,2827488528.5557,1359632.56080462
"4011",1,5000.88888888889,1,4444445,1023366216.81326,917330366.837349,1117945.45966227
"4012",66666667.5555556,5000.88888888889,1,4444445,1388782427.85637,1159911427.95758,1166787.76630731
"4013",133333334.111111,5000.88888888889,1,4444445,1746020902.52154,1396664808.01681,1214653.17942905
"4014",200000000.666667,5000.88888888889,1,4444445,2095616061.56308,1627970695.46486,1261607.47894577
"4015",266666667.222222,5000.88888888889,1,4444445,2438055241.57602,1854175788.01844,1307710.61839971
"4016",333333333.777778,5000.88888888889,1,4444445,2773783538.2704,2075596737.74981,1353017.32483733
"4017",400000000.333333,5000.88888888889,1,4444445,3103208079.50255,2292523190.54583,1397577.62804473
"4018",466666666.888889,5000.88888888889,1,4444445,3426701804.03322,2505220473.97756,1441437.32855035
"4019",533333333.444444,5000.88888888889,1,4444445,3744606810.67718,2713931979.57812,1484638.41240667
"4020",6e+08,5000.88888888889,1,4444445,4057237333.05928,2918881278.80532,1527219.4195915
"4021",1,10000.7777777778,1,4444445,1206719772.06728,1033849204.34382,1280457.67884372
"4022",66666667.5555556,10000.7777777778,1,4444445,1564587182.94997,1270961262.60794,1328148.58946984
"4023",133333334.111111,10000.7777777778,1,4444445,1914574354.18443,1502461116.04662,1374909.14638254
"4024",200000000.666667,10000.7777777778,1,4444445,2257191110.22627,1728711217.03082,1420801.46241623
"4025",266666667.222222,10000.7777777778,1,4444445,2592902588.94135,1950042252.11947,1465882.17150742
"4026",333333333.777778,10000.7777777778,1,4444445,2922133817.01148,2166756394.68814,1510202.99041781
"4027",400000000.333333,10000.7777777778,1,4444445,3245273749.20288,2379130176.40993,1553811.2146117
"4028",466666666.888889,10000.7777777778,1,4444445,3562678842.57515,2587417028.11946,1596750.1570182
"4029",533333333.444444,10000.7777777778,1,4444445,3874676226.18341,2791849533.10808,1639059.5371158
"4030",6e+08,10000.7777777778,1,4444445,4181566518.01979,2992641429.63782,1680775.82669521
"4031",1,15000.6666666667,1,4444445,1368242067.20978,1133632394.79866,1430203.48194937
