,LL,PS,HL,SSS,PR,SR,Yield
306,157894737.6,35526.52632,1,1,2617465331,1812317176,1630928.658
307,189473684.9,35526.52632,1,1,2769785445,1912263219,1651084.17
308,221052632.2,35526.52632,1,1,2920748161,2011244903,1671088.93
309,252631579.5,35526.52632,1,1,3070392145,2109289630,1690947.402
310,284210526.8,35526.52632,1,1,3218754495,2206423692,1710663.866
311,315789474.2,35526.52632,1,1,3365870819,2302672324,1730242.43
312,347368421.5,35526.52632,1,1,3511775303,2398059752,1749687.034
313,378947368.8,35526.52632,1,1,3656500779,2492609245,1769001.459
314,410526316.1,35526.52632,1,1,3800078788,2586343156,1788189.338
315,442105263.4,35526.52632,1,1,3942539641,2679282966,1807254.159
316,473684210.7,35526.52632,1,1,4083912474,2771449325,1826199.271
317,505263158.1,35526.52632,1,1,4224225303,2862862086,1845027.896
321,1,37894.89474,1,1,1910484755,1347352647,1601730.481
322,31578948.32,37894.89474,1,1,2068710009,1451474978,1622491.817
323,63157895.63,37894.89474,1,1,2225384610,1554496327,1643080.926
324,94736842.95,37894.89474,1,1,2380555303,1656449811,1663503.192
325,126315790.3,37894.89474,1,1,2534266869,1757367157,1683763.768
326,157894737.6,37894.89474,1,1,2686562222,1857278769,1703867.592
327,189473684.9,37894.89474,1,1,2837482499,1956213790,1723819.393
328,221052632.2,37894.89474,1,1,2987067151,2054200171,1743623.704
329,252631579.5,37894.89474,1,1,3135354018,2151264722,1763284.871
330,284210526.8,37894.89474,1,1,3282379416,2247433169,1782807.064
331,315789474.2,37894.89474,1,1,3428178198,2342730208,1802194.28
332,347368421.5,37894.89474,1,1,3572783836,2437179550,1821450.357
333,378947368.8,37894.89474,1,1,3716228475,2530803970,1840578.98
334,410526316.1,37894.89474,1,1,3858543001,2623625351,1859583.685
335,442105263.4,37894.89474,1,1,3999757099,2715664723,1878467.871
336,473684210.7,37894.89474,1,1,4139899306,2806942304,1897234.801
337,505263158.1,37894.89474,1,1,4278997063,2897477535,1915887.612
341,1,40263.26316,1,1,1982689018,1394266163,1673176.107
342,31578948.32,40263.26316,1,1,2139410088,1497302467,1693718.931
343,63157895.63,40263.26316,1,1,2294606474,1599256516,1714093.37
344,94736842.95,40263.26316,1,1,2448323904,1700160696,1734304.661
345,126315790.3,40263.26316,1,1,2600606188,1800046036,1754357.821
346,157894737.6,40263.26316,1,1,2751495312,1898942274,1774257.656
